DATA LABEL,DESCRIPTION,DATA_TYPE
First Dose,198771,integer
First Dose,198935,integer
First Dose,199120,integer
First Dose,199341,integer
First Dose,199545,integer
First Dose,199683,integer
First Dose,199763,integer
First Dose,199947,integer
First Dose,200163,integer
First Dose,200360,integer
First Dose,200572,integer
First Dose,200876,integer
First Dose,201047,integer
First Dose,201156,integer
First Dose,201390,integer
First Dose,201631,integer
First Dose,201913,integer
First Dose,202238,integer
First Dose,202588,integer
First Dose,202828,integer
First Dose,202960,integer
First Dose,203183,integer
First Dose,203556,integer
First Dose,203845,integer
First Dose,204222,integer
First Dose,204527,integer
First Dose,204735,integer
First Dose,204881,integer
First Dose,205116,integer
First Dose,205366,integer
First Dose,205657,integer
First Dose,206001,integer
First Dose,206326,integer
First Dose,206514,integer
First Dose,206666,integer
First Dose,206879,integer
First Dose,207255,integer
First Dose,207657,integer
First Dose,208061,integer
First Dose,208573,integer
First Dose,208824,integer
First Dose,208961,integer
First Dose,209215,integer
First Dose,209568,integer
First Dose,209946,integer
First Dose,210330,integer
First Dose,210651,integer
First Dose,210919,integer
First Dose,211122,integer
First Dose,211655,integer
First Dose,212056,integer
First Dose,212376,integer
First Dose,212717,integer
First Dose,212996,integer
First Dose,213215,integer
First Dose,213330,integer
First Dose,213471,integer
First Dose,213660,integer
First Dose,213949,integer
First Dose,214254,integer
First Dose,214621,integer
First Dose,214851,integer
First Dose,214976,integer
First Dose,215205,integer
First Dose,215465,integer
First Dose,215695,integer
First Dose,215995,integer
First Dose,216291,integer
First Dose,216509,integer
First Dose,216633,integer
First Dose,216832,integer
First Dose,217140,integer
First Dose,217332,integer
First Dose,217577,integer
First Dose,217901,integer
First Dose,218056,integer
First Dose,218163,integer
First Dose,218349,integer
First Dose,218580,integer
First Dose,218786,integer
First Dose,218908,integer
First Dose,219185,integer
First Dose,219469,integer
First Dose,219538,integer
First Dose,219692,integer
First Dose,219816,integer
First Dose,220032,integer
First Dose,220264,integer
First Dose,220443,integer
First Dose,220543,integer
First Dose,220608,integer
First Dose,220717,integer
First Dose,220867,integer
First Dose,221182,integer
First Dose,221356,integer
First Dose,221528,integer
First Dose,221647,integer
First Dose,221693,integer
First Dose,221840,integer
First Dose,222027,integer
First Dose,222168,integer
First Dose,222324,integer
First Dose,222357,integer
First Dose,0,integer
First Dose,0,integer
First Dose,6,integer
First Dose,22,integer
First Dose,40,integer
First Dose,41,integer
First Dose,45,integer
First Dose,51,integer
First Dose,72,integer
First Dose,142,integer
First Dose,151,integer
First Dose,163,integer
First Dose,164,integer
First Dose,168,integer
First Dose,229,integer
First Dose,277,integer
First Dose,299,integer
First Dose,314,integer
First Dose,319,integer
First Dose,346,integer
First Dose,347,integer
First Dose,358,integer
First Dose,447,integer
First Dose,488,integer
First Dose,532,integer
First Dose,600,integer
First Dose,603,integer
First Dose,629,integer
First Dose,729,integer
First Dose,747,integer
First Dose,859,integer
First Dose,888,integer
First Dose,1250,integer
First Dose,1253,integer
First Dose,1271,integer
First Dose,1501,integer
First Dose,1678,integer
First Dose,1713,integer
First Dose,1830,integer
First Dose,1871,integer
First Dose,1974,integer
First Dose,1982,integer
First Dose,2059,integer
First Dose,2103,integer
First Dose,2140,integer
First Dose,2225,integer
First Dose,2329,integer
First Dose,2333,integer
First Dose,2336,integer
First Dose,2378,integer
First Dose,2419,integer
First Dose,2434,integer
First Dose,2466,integer
First Dose,2634,integer
First Dose,2650,integer
First Dose,2654,integer
First Dose,2668,integer
First Dose,2684,integer
First Dose,2802,integer
First Dose,2915,integer
First Dose,3114,integer
First Dose,3147,integer
First Dose,3167,integer
First Dose,3241,integer
First Dose,3277,integer
First Dose,3381,integer
First Dose,3417,integer
First Dose,3444,integer
First Dose,3456,integer
First Dose,3471,integer
First Dose,3487,integer
First Dose,3505,integer
First Dose,3521,integer
First Dose,3749,integer
First Dose,4294,integer
First Dose,4418,integer
First Dose,4509,integer
First Dose,4612,integer
First Dose,4683,integer
First Dose,4806,integer
First Dose,5014,integer
First Dose,6003,integer
First Dose,6423,integer
First Dose,6717,integer
First Dose,7091,integer
First Dose,7295,integer
First Dose,7355,integer
First Dose,7553,integer
First Dose,7844,integer
First Dose,7970,integer
First Dose,7995,integer
First Dose,8056,integer
First Dose,8156,integer
First Dose,8408,integer
First Dose,8762,integer
First Dose,9203,integer
First Dose,9345,integer
First Dose,9385,integer
First Dose,9488,integer
First Dose,9776,integer
First Dose,9907,integer
First Dose,10205,integer
First Dose,10486,integer
First Dose,10875,integer
First Dose,11244,integer
First Dose,11443,integer
First Dose,11465,integer
First Dose,11682,integer
First Dose,11870,integer
First Dose,12006,integer
First Dose,12028,integer
First Dose,12059,integer
First Dose,12100,integer
First Dose,12129,integer
First Dose,12286,integer
First Dose,12375,integer
First Dose,12673,integer
First Dose,12854,integer
First Dose,12899,integer
First Dose,12959,integer
First Dose,12995,integer
First Dose,13065,integer
First Dose,13260,integer
First Dose,13391,integer
First Dose,13436,integer
First Dose,13479,integer
First Dose,13513,integer
First Dose,13561,integer
First Dose,13607,integer
First Dose,13632,integer
First Dose,13671,integer
First Dose,13696,integer
First Dose,13717,integer
First Dose,13740,integer
First Dose,13784,integer
First Dose,14077,integer
First Dose,14237,integer
First Dose,14257,integer
First Dose,14270,integer
First Dose,14277,integer
First Dose,14300,integer
First Dose,14496,integer
First Dose,14528,integer
First Dose,14614,integer
First Dose,14656,integer
First Dose,14696,integer
First Dose,14723,integer
First Dose,14746,integer
First Dose,14785,integer
First Dose,14865,integer
First Dose,14908,integer
First Dose,14938,integer
First Dose,14954,integer
First Dose,14975,integer
First Dose,15005,integer
First Dose,15051,integer
First Dose,15138,integer
First Dose,15253,integer
First Dose,15325,integer
First Dose,15367,integer
First Dose,15401,integer
First Dose,15474,integer
First Dose,15585,integer
First Dose,15659,integer
First Dose,15872,integer
First Dose,16093,integer
First Dose,16131,integer
First Dose,16162,integer
First Dose,16175,integer
First Dose,16303,integer
First Dose,16346,integer
First Dose,16440,integer
First Dose,16463,integer
First Dose,16486,integer
First Dose,16499,integer
First Dose,16518,integer
First Dose,16545,integer
First Dose,16575,integer
First Dose,16687,integer
First Dose,16736,integer
First Dose,16751,integer
First Dose,16762,integer
First Dose,16798,integer
First Dose,16828,integer
First Dose,16866,integer
First Dose,16910,integer
First Dose,16937,integer
First Dose,16958,integer
First Dose,16974,integer
First Dose,17002,integer
First Dose,17031,integer
First Dose,17057,integer
First Dose,17097,integer
First Dose,17122,integer
First Dose,17174,integer
First Dose,17183,integer
First Dose,17196,integer
First Dose,17203,integer
First Dose,17234,integer
First Dose,17258,integer
First Dose,17273,integer
First Dose,17277,integer
First Dose,17282,integer
First Dose,17285,integer
First Dose,17301,integer
First Dose,17315,integer
First Dose,17358,integer
First Dose,17393,integer
First Dose,17399,integer
First Dose,17404,integer
First Dose,17423,integer
First Dose,17437,integer
First Dose,17448,integer
First Dose,17462,integer
First Dose,17476,integer
First Dose,17489,integer
First Dose,17507,integer
First Dose,17526,integer
First Dose,17550,integer
First Dose,17578,integer
First Dose,17634,integer
First Dose,17692,integer
First Dose,17705,integer
First Dose,17712,integer
First Dose,17718,integer
First Dose,17754,integer
First Dose,17764,integer
First Dose,17787,integer
First Dose,17854,integer
First Dose,17877,integer
First Dose,17887,integer
First Dose,17917,integer
First Dose,17937,integer
First Dose,17955,integer
First Dose,17985,integer
First Dose,18026,integer
First Dose,18052,integer
First Dose,18065,integer
First Dose,18078,integer
First Dose,18097,integer
First Dose,18162,integer
First Dose,18193,integer
First Dose,18223,integer
First Dose,18234,integer
First Dose,18244,integer
First Dose,18260,integer
First Dose,18281,integer
First Dose,18302,integer
First Dose,18360,integer
First Dose,18384,integer
First Dose,18400,integer
First Dose,18405,integer
First Dose,18424,integer
First Dose,18453,integer
First Dose,18483,integer
First Dose,18520,integer
First Dose,18557,integer
First Dose,18589,integer
First Dose,18604,integer
First Dose,18637,integer
First Dose,18664,integer
First Dose,18694,integer
First Dose,18749,integer
First Dose,18772,integer
First Dose,18788,integer
First Dose,18795,integer
First Dose,18813,integer
First Dose,18837,integer
First Dose,18884,integer
First Dose,18917,integer
First Dose,18952,integer
First Dose,18994,integer
First Dose,19020,integer
First Dose,19042,integer
First Dose,19065,integer
First Dose,19128,integer
First Dose,19168,integer
First Dose,19241,integer
First Dose,19312,integer
First Dose,19331,integer
First Dose,19347,integer
First Dose,19407,integer
First Dose,19450,integer
First Dose,19485,integer
First Dose,19526,integer
First Dose,19555,integer
First Dose,19582,integer
First Dose,19601,integer
First Dose,19615,integer
First Dose,19657,integer
First Dose,19700,integer
First Dose,19719,integer
First Dose,19775,integer
First Dose,19788,integer
First Dose,19793,integer
First Dose,19804,integer
First Dose,19823,integer
First Dose,19842,integer
First Dose,19854,integer
First Dose,19893,integer
First Dose,19896,integer
First Dose,19907,integer
First Dose,19914,integer
First Dose,19929,integer
First Dose,19946,integer
First Dose,19962,integer
First Dose,19977,integer
First Dose,19987,integer
First Dose,20005,integer
First Dose,20028,integer
First Dose,20046,integer
First Dose,20055,integer
First Dose,20063,integer
First Dose,2,integer
First Dose,49,integer
First Dose,201,integer
First Dose,348,integer
First Dose,609,integer
First Dose,684,integer
First Dose,720,integer
First Dose,936,integer
First Dose,1353,integer
First Dose,2041,integer
First Dose,2853,integer
First Dose,3331,integer
First Dose,3558,integer
First Dose,3775,integer
First Dose,4430,integer
First Dose,5385,integer
First Dose,6579,integer
First Dose,7861,integer
First Dose,8195,integer
First Dose,9173,integer
First Dose,9443,integer
First Dose,10231,integer
First Dose,11447,integer
First Dose,13334,integer
First Dose,15335,integer
First Dose,18086,integer
First Dose,19175,integer
First Dose,20436,integer
First Dose,22373,integer
First Dose,24507,integer
First Dose,26886,integer
First Dose,29642,integer
First Dose,32687,integer
First Dose,35548,integer
First Dose,37929,integer
First Dose,39819,integer
First Dose,42627,integer
First Dose,45271,integer
First Dose,47883,integer
First Dose,50876,integer
First Dose,52458,integer
First Dose,52790,integer
First Dose,53995,integer
First Dose,57662,integer
First Dose,59253,integer
First Dose,62204,integer
First Dose,65337,integer
First Dose,67377,integer
First Dose,68423,integer
First Dose,69118,integer
First Dose,70021,integer
First Dose,71414,integer
First Dose,74347,integer
First Dose,76894,integer
First Dose,78579,integer
First Dose,79361,integer
First Dose,80804,integer
First Dose,82807,integer
First Dose,84551,integer
First Dose,86507,integer
First Dose,88729,integer
First Dose,90437,integer
First Dose,91683,integer
First Dose,92473,integer
First Dose,93757,integer
First Dose,95356,integer
First Dose,98794,integer
First Dose,100093,integer
First Dose,101008,integer
First Dose,101438,integer
First Dose,102387,integer
First Dose,104403,integer
First Dose,106680,integer
First Dose,109995,integer
First Dose,113400,integer
First Dose,117000,integer
First Dose,119978,integer
First Dose,123423,integer
First Dose,126720,integer
First Dose,129998,integer
First Dose,134250,integer
First Dose,140151,integer
First Dose,145133,integer
First Dose,146906,integer
First Dose,151051,integer
First Dose,155565,integer
First Dose,160774,integer
First Dose,167155,integer
First Dose,174505,integer
First Dose,179210,integer
First Dose,182415,integer
First Dose,185877,integer
First Dose,190418,integer
First Dose,194839,integer
First Dose,200555,integer
First Dose,206444,integer
First Dose,210573,integer
First Dose,213234,integer
First Dose,217166,integer
First Dose,221216,integer
First Dose,228556,integer
First Dose,236004,integer
First Dose,241531,integer
First Dose,246132,integer
First Dose,249082,integer
First Dose,253216,integer
First Dose,258065,integer
First Dose,264223,integer
First Dose,271446,integer
First Dose,278678,integer
First Dose,283346,integer
First Dose,285885,integer
First Dose,290546,integer
First Dose,297009,integer
First Dose,303702,integer
First Dose,312410,integer
First Dose,322673,integer
First Dose,329470,integer
First Dose,333301,integer
First Dose,339991,integer
First Dose,345400,integer
First Dose,350851,integer
First Dose,356909,integer
First Dose,363008,integer
First Dose,367694,integer
First Dose,370807,integer
First Dose,376420,integer
First Dose,381767,integer
First Dose,386175,integer
First Dose,390729,integer
First Dose,395704,integer
First Dose,399236,integer
First Dose,401341,integer
First Dose,405548,integer
First Dose,410781,integer
First Dose,416067,integer
First Dose,421620,integer
First Dose,426451,integer
First Dose,429521,integer
First Dose,431242,integer
First Dose,434080,integer
First Dose,439681,integer
First Dose,444179,integer
First Dose,448194,integer
First Dose,451977,integer
First Dose,455317,integer
First Dose,457373,integer
First Dose,460151,integer
First Dose,463907,integer
First Dose,467095,integer
First Dose,471079,integer
First Dose,476315,integer
First Dose,479314,integer
First Dose,481320,integer
First Dose,485307,integer
First Dose,493139,integer
First Dose,503360,integer
First Dose,510346,integer
First Dose,518016,integer
First Dose,530122,integer
First Dose,533165,integer
First Dose,544940,integer
First Dose,549308,integer
First Dose,553525,integer
First Dose,576014,integer
First Dose,587103,integer
First Dose,597226,integer
First Dose,600085,integer
First Dose,601191,integer
First Dose,604062,integer
First Dose,607541,integer
First Dose,611291,integer
First Dose,614735,integer
First Dose,617033,integer
First Dose,618302,integer
First Dose,620803,integer
First Dose,623749,integer
First Dose,627212,integer
First Dose,630242,integer
First Dose,633194,integer
First Dose,634893,integer
First Dose,635779,integer
First Dose,638808,integer
First Dose,641913,integer
First Dose,644972,integer
First Dose,647738,integer
First Dose,650132,integer
First Dose,652136,integer
First Dose,653487,integer
First Dose,655399,integer
First Dose,657601,integer
First Dose,659896,integer
First Dose,662512,integer
First Dose,665756,integer
First Dose,668587,integer
First Dose,669468,integer
First Dose,671370,integer
First Dose,673509,integer
First Dose,675732,integer
First Dose,677847,integer
First Dose,680080,integer
First Dose,681314,integer
First Dose,681842,integer
First Dose,682458,integer
First Dose,684438,integer
First Dose,686645,integer
First Dose,688744,integer
First Dose,690627,integer
First Dose,691865,integer
First Dose,692523,integer
First Dose,694243,integer
First Dose,696156,integer
First Dose,698258,integer
First Dose,699970,integer
First Dose,701689,integer
First Dose,703161,integer
First Dose,704256,integer
First Dose,706287,integer
First Dose,708563,integer
First Dose,710868,integer
First Dose,713183,integer
First Dose,715859,integer
First Dose,717362,integer
First Dose,718134,integer
First Dose,720058,integer
First Dose,722720,integer
First Dose,725559,integer
First Dose,728036,integer
First Dose,731501,integer
First Dose,733299,integer
First Dose,734217,integer
First Dose,736820,integer
First Dose,740175,integer
First Dose,744095,integer
First Dose,748153,integer
First Dose,752025,integer
First Dose,754802,integer
First Dose,756282,integer
First Dose,760819,integer
First Dose,765417,integer
First Dose,769241,integer
First Dose,773190,integer
First Dose,776683,integer
First Dose,778825,integer
First Dose,780024,integer
First Dose,783372,integer
First Dose,787460,integer
First Dose,791684,integer
First Dose,795526,integer
First Dose,798971,integer
First Dose,801140,integer
First Dose,801650,integer
First Dose,805137,integer
First Dose,809774,integer
First Dose,813335,integer
First Dose,817055,integer
First Dose,820384,integer
First Dose,822462,integer
First Dose,823462,integer
First Dose,826936,integer
First Dose,831054,integer
First Dose,835218,integer
First Dose,840741,integer
First Dose,845070,integer
First Dose,847559,integer
First Dose,849238,integer
First Dose,850632,integer
First Dose,854127,integer
First Dose,858338,integer
First Dose,864718,integer
First Dose,869196,integer
First Dose,872808,integer
First Dose,874777,integer
First Dose,878631,integer
First Dose,883007,integer
First Dose,887208,integer
First Dose,891459,integer
First Dose,895423,integer
First Dose,897681,integer
First Dose,898881,integer
First Dose,901827,integer
First Dose,905416,integer
First Dose,908712,integer
First Dose,912797,integer
First Dose,917319,integer
First Dose,920071,integer
First Dose,921449,integer
First Dose,925082,integer
First Dose,928143,integer
First Dose,931091,integer
First Dose,933683,integer
First Dose,936953,integer
First Dose,939636,integer
First Dose,940749,integer
First Dose,942959,integer
First Dose,945397,integer
First Dose,948284,integer
First Dose,950632,integer
First Dose,953073,integer
First Dose,954767,integer
First Dose,955302,integer
First Dose,956993,integer
First Dose,959207,integer
First Dose,961184,integer
First Dose,963210,integer
First Dose,965360,integer
First Dose,966712,integer
First Dose,967297,integer
First Dose,968986,integer
First Dose,970905,integer
First Dose,972860,integer
First Dose,973592,integer
First Dose,973636,integer
First Dose,0,integer
First Dose,2,integer
First Dose,3,integer
First Dose,5,integer
First Dose,7,integer
First Dose,9,integer
First Dose,15,integer
First Dose,19,integer
First Dose,42,integer
First Dose,84,integer
First Dose,380,integer
First Dose,380,integer
First Dose,498,integer
First Dose,498,integer
First Dose,538,integer
First Dose,647,integer
First Dose,1558,integer
First Dose,2049,integer
First Dose,2052,integer
First Dose,2239,integer
First Dose,2307,integer
First Dose,4051,integer
First Dose,4557,integer
First Dose,5483,integer
First Dose,6399,integer
First Dose,7397,integer
First Dose,7714,integer
First Dose,7816,integer
First Dose,8004,integer
First Dose,8207,integer
First Dose,8473,integer
First Dose,8708,integer
First Dose,9043,integer
First Dose,9327,integer
First Dose,9489,integer
First Dose,9647,integer
First Dose,9824,integer
First Dose,10352,integer
First Dose,11171,integer
First Dose,12301,integer
First Dose,12979,integer
First Dose,13495,integer
First Dose,14474,integer
First Dose,15038,integer
First Dose,15658,integer
First Dose,16708,integer
First Dose,17493,integer
First Dose,17953,integer
First Dose,18337,integer
First Dose,19032,integer
First Dose,19167,integer
First Dose,20521,integer
First Dose,21369,integer
First Dose,22151,integer
First Dose,22590,integer
First Dose,22941,integer
First Dose,23418,integer
First Dose,23915,integer
First Dose,24362,integer
First Dose,25525,integer
First Dose,26237,integer
First Dose,26593,integer
First Dose,27037,integer
First Dose,27653,integer
First Dose,28126,integer
First Dose,29016,integer
First Dose,29499,integer
First Dose,29976,integer
First Dose,30517,integer
First Dose,30870,integer
First Dose,31247,integer
First Dose,32096,integer
First Dose,32402,integer
First Dose,33166,integer
First Dose,33945,integer
First Dose,34592,integer
First Dose,35189,integer
First Dose,36243,integer
First Dose,37680,integer
First Dose,39136,integer
First Dose,40406,integer
First Dose,41657,integer
First Dose,42370,integer
First Dose,43015,integer
First Dose,44303,integer
First Dose,45494,integer
First Dose,46379,integer
First Dose,47089,integer
First Dose,47672,integer
First Dose,48117,integer
First Dose,48813,integer
First Dose,50061,integer
First Dose,51250,integer
First Dose,52221,integer
First Dose,53633,integer
First Dose,54921,integer
First Dose,55647,integer
First Dose,56283,integer
First Dose,57603,integer
First Dose,58309,integer
First Dose,59548,integer
First Dose,60378,integer
First Dose,61335,integer
First Dose,61886,integer
First Dose,62383,integer
First Dose,63094,integer
First Dose,63876,integer
First Dose,64727,integer
First Dose,65577,integer
First Dose,67063,integer
First Dose,67757,integer
First Dose,68616,integer
First Dose,69533,integer
First Dose,70620,integer
First Dose,72284,integer
First Dose,73716,integer
First Dose,75072,integer
First Dose,75980,integer
First Dose,76809,integer
First Dose,77782,integer
First Dose,78473,integer
First Dose,79060,integer
First Dose,79827,integer
First Dose,80697,integer
First Dose,81355,integer
First Dose,81761,integer
First Dose,82446,integer
First Dose,83085,integer
First Dose,83603,integer
First Dose,84191,integer
First Dose,84787,integer
First Dose,85204,integer
First Dose,85516,integer
First Dose,85963,integer
First Dose,86708,integer
First Dose,87564,integer
First Dose,88346,integer
First Dose,88934,integer
First Dose,89245,integer
First Dose,89638,integer
First Dose,90238,integer
First Dose,90684,integer
First Dose,91106,integer
First Dose,91463,integer
First Dose,91875,integer
First Dose,92214,integer
First Dose,92461,integer
First Dose,92636,integer
First Dose,92843,integer
First Dose,93051,integer
First Dose,93430,integer
First Dose,94005,integer
First Dose,94438,integer
First Dose,94683,integer
First Dose,95135,integer
First Dose,95705,integer
First Dose,96367,integer
First Dose,97133,integer
First Dose,97603,integer
First Dose,97920,integer
First Dose,98139,integer
First Dose,98590,integer
First Dose,98924,integer
First Dose,99321,integer
First Dose,99872,integer
First Dose,100224,integer
First Dose,100466,integer
First Dose,100674,integer
First Dose,100845,integer
First Dose,101009,integer
First Dose,101239,integer
First Dose,101528,integer
First Dose,101779,integer
First Dose,101980,integer
First Dose,102082,integer
First Dose,102250,integer
First Dose,102544,integer
First Dose,102907,integer
First Dose,103222,integer
First Dose,103555,integer
First Dose,103681,integer
First Dose,103734,integer
First Dose,104050,integer
First Dose,104233,integer
First Dose,104398,integer
First Dose,104626,integer
First Dose,104764,integer
First Dose,105125,integer
First Dose,105175,integer
First Dose,105266,integer
First Dose,105396,integer
First Dose,105561,integer
First Dose,105744,integer
First Dose,105965,integer
First Dose,106186,integer
First Dose,106233,integer
First Dose,106320,integer
First Dose,106412,integer
First Dose,106642,integer
First Dose,106759,integer
First Dose,106847,integer
First Dose,106940,integer
First Dose,106965,integer
First Dose,107001,integer
First Dose,107091,integer
First Dose,107188,integer
First Dose,107294,integer
First Dose,107402,integer
First Dose,107484,integer
First Dose,107540,integer
First Dose,107627,integer
First Dose,107728,integer
First Dose,107827,integer
First Dose,107921,integer
First Dose,108027,integer
First Dose,108135,integer
First Dose,108199,integer
First Dose,108276,integer
First Dose,108385,integer
First Dose,108515,integer
First Dose,108659,integer
First Dose,108971,integer
First Dose,109097,integer
First Dose,109163,integer
First Dose,109265,integer
First Dose,109406,integer
First Dose,109570,integer
First Dose,109715,integer
First Dose,109836,integer
First Dose,109984,integer
First Dose,110052,integer
First Dose,110168,integer
First Dose,110396,integer
First Dose,110578,integer
First Dose,110770,integer
First Dose,110994,integer
First Dose,111147,integer
First Dose,111225,integer
First Dose,111341,integer
First Dose,111474,integer
First Dose,111675,integer
First Dose,111853,integer
First Dose,112001,integer
First Dose,112159,integer
First Dose,112262,integer
First Dose,112379,integer
First Dose,112583,integer
First Dose,112817,integer
First Dose,113034,integer
First Dose,113260,integer
First Dose,113411,integer
First Dose,113509,integer
First Dose,113628,integer
First Dose,113835,integer
First Dose,114025,integer
First Dose,114242,integer
First Dose,114420,integer
First Dose,114590,integer
First Dose,114699,integer
First Dose,114826,integer
First Dose,114994,integer
First Dose,115176,integer
First Dose,115348,integer
First Dose,115509,integer
First Dose,115657,integer
First Dose,115762,integer
First Dose,115902,integer
First Dose,116027,integer
First Dose,116259,integer
First Dose,116414,integer
First Dose,116536,integer
First Dose,116674,integer
